gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ATP10B,344.74245565048767,6.326097943649147,0.7270528415576406,8.701015362371864,3.2892773042906272e-18,1.2546619349486168e-15
HSPA12B,626.4768176954339,-2.633650389914785,0.30291506171033844,-8.69435271737397,3.488125383955192e-18,1.3044221043684983e-15
AC144831.1,98.170009510275,-2.583152921519674,0.29874290985201984,-8.646742186447941,5.299050640139487e-18,1.9435287270911595e-15
PECAM1,19548.456845854707,-2.092289357769896,0.2427146409045132,-8.620367316832063,6.673967647293303e-18,2.4016209616826016e-15
BCHE,282.17076288271386,-2.983805936526362,0.34679692788813204,-8.603899563634148,7.70524128840945e-18,2.721377071343426e-15
TEK,1895.2074043953596,-3.0952880652431443,0.3621885591929065,-8.54606802639106,1.27352970727307e-17,4.416137923111271e-15
MYCT1,824.0920404367374,-2.2220181377121557,0.2640690613814574,-8.414534160449676,3.9445931517331326e-17,1.3434157248188268e-14
RAMP2,1587.8405275724797,-2.7268753923109963,0.3247656679707693,-8.396439837219587,4.602193668181067e-17,1.5398778533254266e-14
ROBO4,2845.457840852425,-2.777706408511653,0.33210988721960477,-8.363817264720334,6.072094309746492e-17,1.9966721150945706e-14
PRX,1991.573077799049,-3.578519041148836,0.428639819502451,-8.34854551148012,6.91087157692039e-17,2.2339685205936553e-14
TGFBR2,14519.427345567301,-1.6960326412868,0.20438959562422698,-8.298038048888648,1.0584478135915423e-16,3.364452783469649e-14
MYBL2,897.2592857690023,4.276165203846404,0.5192403644021826,8.235425242353193,1.7892094753420033e-16,5.594066084216834e-14
NRG3,34.62435490090511,-3.9699937597884163,0.48280768737171403,-8.222722760277664,1.989343365018456e-16,6.119476880263225e-14
LIN7A,535.1227716237564,-2.54362083973421,0.3111977632122833,-8.173647565709143,2.9920300637653567e-16,9.057777361290934e-14
PNPLA6,4442.2745024448095,-1.721028564707031,0.2111504150572376,-8.150723095858007,3.617546000528163e-16,1.0780287081573926e-13
SDPR,9651.178392503492,-2.894235342386356,0.35534871916262584,-8.144774938844806,3.7998801382526833e-16,1.1149432922577719e-13
HMGA1,6803.856463069718,2.5842232713352837,0.3179835698014884,8.12690816996793,4.403787422120944e-16,1.2725611168892523e-13
MYO7A,364.6536150977227,2.389774183070789,0.29427682676702754,8.120837135989373,4.629789782484651e-16,1.3179007571872726e-13
ZYG11A,57.09073269967705,4.931178935334205,0.6106428941748583,8.075389040590647,6.726184735049834e-16,1.886496989218683e-13
KIF4A,476.43810146585287,4.134688898845031,0.512640410632623,8.065475941981681,7.29511017495391e-16,2.0164107428510285e-13
SYT15,79.11046417084702,-2.661059044678444,0.33157912230013026,-8.025411932509355,1.0118582484235677e-15,2.7568800734191836e-13
FABP4,2661.6123299609,-4.117924946283325,0.5153933920147475,-7.989867565406221,1.3508378770072829e-15,3.5782194430948474e-13
MEX3A,420.3831291970259,3.5171108786729754,0.44010306179489816,7.991561940807537,1.3323974457300975e-15,3.5782194430948474e-13
S100P,5029.531430033683,5.51341203710182,0.6907450401900971,7.981833695953136,1.4417519667636207e-15,3.766725138372024e-13
PLK1,619.3165235252774,3.4835683122124754,0.4383679799159818,7.94667601607248,1.9158259673738435e-15,4.937653087804587e-13
RAMP3,1772.9780089069818,-3.08574460484519,0.3889532853476921,-7.93345813260528,2.1312643220451726e-15,5.419663086672737e-13
KAL1,5526.5680752431545,-3.2171657450643814,0.4060086733011928,-7.923884282830985,2.3020386788804944e-15,5.776905484685367e-13
PTGES,1401.727111623152,3.61655160876218,0.4566322748285124,7.920052541446772,2.3741023774810626e-15,5.880374096534913e-13
IL17D,105.03927881751977,-2.3254667201826793,0.2936793935803985,-7.9183857329304,2.40613923523715e-15,5.883318909543965e-13
SLC39A8,13343.300383034904,-2.671774139515443,0.3378496848165242,-7.908174136573196,2.6119129445163262e-15,6.305620718710807e-13
SH2D3C,1648.89816977964,-2.2501976394691283,0.2848343073504702,-7.900023211390773,2.78851496488737e-15,6.633790203732813e-13
KAT2A,1256.8621255014175,1.377739634961989,0.17445907331836233,7.897208260689402,2.8521958719908274e-15,6.633790203732813e-13
MBNL1-AS1,266.91432628318864,-2.1456762298340224,0.27167691104188846,-7.897896886435048,2.836486451111506e-15,6.633790203732813e-13
ANGPT4,151.90236641367196,-4.330821079830136,0.5495815742985058,-7.8802152080117684,3.268176974997966e-15,7.509719429778458e-13
PLEK2,452.2619520723993,3.014694950406032,0.383315928636062,7.864778698691449,3.6975051774434246e-15,8.199862644674534e-13
TNNC1,1409.3768531193134,-3.4710943775519594,0.44123393267242816,-7.866789293671341,3.638587153917801e-15,8.199862644674534e-13
TRIM58,79.43519080327891,-3.698824785759892,0.47025509643793023,-7.865570865212528,3.674180409382419e-15,8.199862644674534e-13
C16orf59,106.71636378071477,3.163372837914452,0.403224124781513,7.845197356751721,4.322731260853606e-15,9.36853756897727e-13
ADRB2,848.639691670306,-3.074954027612433,0.39195218747717026,-7.845227366645422,4.321697629298606e-15,9.36853756897727e-13
CXCL13,1209.5223930004113,6.431916582195766,0.822193841049859,7.822871275687073,5.163189507577738e-15,1.1064309021182317e-12
CD5L,73.3813954104938,-5.4687694229945025,0.6995920031602164,-7.817083955063559,5.4061049619183834e-15,1.1456137092634157e-12
STX11,1042.3968070290111,-2.5647729542915028,0.32851150732799234,-7.807254531667845,5.844715922405115e-15,1.2249496931001137e-12
ACVRL1,3613.8959709524493,-2.486314716514352,0.3188734011704332,-7.797184422997554,6.3303692871175895e-15,1.2982021832678135e-12
GPR115,225.59422505428373,4.841352351333144,0.6208337584255524,7.798146098902411,6.282325260893982e-15,1.2982021832678135e-12
GPT2,1077.7789973546082,2.6132115902897866,0.3355229797967794,7.788472765330603,6.7823986992114114e-15,1.3761054041634046e-12
LOXHD1,59.72664235859961,-3.031598691898507,0.3902101982742032,-7.769142644929499,7.901914131809083e-15,1.5863716454932928e-12
GYPE,95.86217610009935,-3.0731658314201127,0.3959333773635867,-7.76182561794485,8.371546187661724e-15,1.6631471759487958e-12
MYEOV,200.79590896661603,5.047777345946154,0.650903513895728,7.755031641686278,8.832145206098403e-15,1.7365636429969976e-12
SPP1,11697.856198110436,5.5723755465185665,0.7192132677757167,7.747876459164941,9.344198163923707e-15,1.818495381452581e-12
NOVA2,403.5157984030968,-2.5569879105214035,0.330325092139456,-7.740822515057074,9.877570489932251e-15,1.902879034181696e-12
OTUD1,1660.2295462200093,-1.9497085172953454,0.25201652512986067,-7.736431237160687,1.022462424051581e-14,1.9500403351511752e-12
SLC2A5,243.94105530126882,3.7147386848133706,0.4809207218667352,7.724222550432621,1.1253807394315158e-14,2.125075392320581e-12
C2orf91,37.130704174973616,-3.6450451423271897,0.47332098946564893,-7.701000427727128,1.3500503844763745e-14,2.524329503209158e-12
GS1-600G8.5,221.1409231372405,-4.489308220129437,0.5831049773670256,-7.69897084466785,1.371664593797565e-14,2.5398434109618602e-12
SAPCD2,251.28728177087285,3.604376920108017,0.4685644884101822,7.692381751629327,1.444209382225615e-14,2.648457820942974e-12
TUBB3,76.49203059747994,4.6553365931257975,0.6058410360047047,7.684089251903441,1.540892164369474e-14,2.798847177033772e-12
CFP,270.66650005298595,-1.8725191245240194,0.2439069993648778,-7.67718486718286,1.6262266783063652e-14,2.9259806800621697e-12
ABCA12,428.40547776652124,5.52730107807808,0.7203916613323462,7.672633339280296,1.685006465383966e-14,3.0034059166171026e-12
RBP2,71.61164829444539,-4.253908824414295,0.555296454376743,-7.660608654864946,1.850539507949578e-14,3.2679156940383656e-12
C1orf61,140.918003338795,6.690466386085847,0.87419412796713,7.65329595800878,1.9589235833724176e-14,3.4275771176219037e-12
RS1,95.4110146681391,-4.003093297069421,0.5233370498591698,-7.649168538987742,2.022829733936046e-14,3.507218971420752e-12
RP11-284F21.9,293.469415097407,6.828356035172343,0.8944088062820332,7.63449105958284,2.2671422151855783e-14,3.895399669190932e-12
CCNE1,225.0604931400049,3.5691299262688423,0.46782050881132503,7.62927203712716,2.360829928157669e-14,4.01745015079067e-12
BCL6B,953.4397901903844,-1.8229170602830467,0.23897040166022573,-7.628212731026485,2.3803055109026095e-14,4.01745015079067e-12
TMPRSS4,1907.6497074791282,4.136510208058944,0.5427156198585715,7.621874249974404,2.5001854392351518e-14,4.1827663769379665e-12
ZFPM2-AS1,105.17450617169027,5.727945607981203,0.7520257030104117,7.616688611907591,2.602661785757485e-14,4.316344832866674e-12
TOP2A,3531.458418481912,4.266474587860155,0.5606355651480411,7.610067667993114,2.739524534136742e-14,4.504156199573789e-12
KIF2C,542.0431902831735,3.9900255232407913,0.5245219379497859,7.606975484832379,2.8058450766179618e-14,4.573767290705792e-12
LANCL1-AS1,159.7265957735522,-3.7701430040453245,0.4957746240681435,-7.604550174651787,2.8589653789440094e-14,4.6208633650186564e-12
WFS1,4418.499919957611,-2.0111701419389716,0.2649226742387699,-7.591536465188861,3.161341737710963e-14,4.982901621621776e-12
ETV4,967.5180053254142,3.438808019857331,0.4528652744883629,7.5934460281646015,3.1150797188406225e-14,4.982901621621776e-12
AKAP2,106.79712173674827,-2.524328714066398,0.3325137043110323,-7.591653159970661,3.158495350266591e-14,4.982901621621776e-12
SGCG,96.35955986967646,-3.99756863616629,0.5272128733971465,-7.5824564191833455,3.3907299922554765e-14,5.300655935434135e-12
ITPKA,175.10003945367217,4.698732355314137,0.6217403182178214,7.557387252579583,4.1124622264074937e-14,6.376656876588921e-12
BTNL9,1054.3132646700242,-3.736446559682354,0.4951527458873646,-7.546048347134294,4.486635499766904e-14,6.845528980124351e-12
KIF18B,224.78013105151834,3.8586764000133904,0.5112929211938501,7.546899712602169,4.457415520066125e-14,6.845528980124351e-12
TACC1,9343.77241628471,-1.9518560280686084,0.25869824633373106,-7.544914029106468,4.5258596008595013e-14,6.850570976793048e-12
KIF1C,8934.62105760184,-1.4808786055021692,0.19678537398193582,-7.5253489399985005,5.257971217933363e-14,7.896065123498038e-12
GIMAP8,1917.0071924400766,-2.317099521261133,0.30819155270840426,-7.518374533300266,5.546143315039679e-14,8.263753539409121e-12
RPL13AP17,324.6473891777123,-4.970203928365259,0.6625924202900073,-7.501148181245224,6.326122536039764e-14,9.352853411422511e-12
RP11-284F21.10,478.04803064158097,5.488278367910045,0.7328102813182894,7.489357761243339,6.921144501810839e-14,1.0153851379887408e-11
EXO1,225.04233234164258,3.7871566964154004,0.5066374447566231,7.475082498560017,7.715543527008525e-14,1.12328890188631e-11
PLA2G4F,2005.3977418109646,-3.321603317386332,0.44479589385325874,-7.4677022951164025,8.160721167078992e-14,1.1791005613525042e-11
VIPR1,2185.3431823438264,-3.6349358049046696,0.4878992395499899,-7.450177229743839,9.321492479914915e-14,1.3366880043378741e-11
SLCO5A1,60.461344509742894,2.6703028521987724,0.35848515857969754,7.448851893278916,9.41559988145285e-14,1.3401068726796175e-11
STYK1,239.17143880571084,2.5988255019993725,0.34914686296471203,7.4433591639115875,9.815674030550827e-14,1.3867002600790027e-11
EMCN,1709.524108617357,-2.728576909321191,0.36719453900421273,-7.430875515525809,1.078812054792583e-13,1.5128752580150106e-11
GREM1,2621.809935065969,6.082571401699463,0.8201318109444792,7.416577823867922,1.2018527287285749e-13,1.6731193607526553e-11
CRABP2,4983.324196547806,5.976040586099142,0.8074638796085006,7.401000511622426,1.3516221162504806e-13,1.867980942110809e-11
LINC00968,165.52790800154617,-3.699982476622069,0.5006044322021258,-7.3910301999247,1.4569551992826023e-13,1.9990683137207043e-11
DLGAP5,458.7894953955182,4.214282920442107,0.5704380699242216,7.387800959711442,1.4927697309192838e-13,2.03357887914947e-11
CD300LG,315.97059259765973,-4.431568002096224,0.6010769975647549,-7.372712680822235,1.6719056467718528e-13,2.2614598932789206e-11
CTD-3010D24.3,33.43018595333641,5.609555398917695,0.7620770779655487,7.360876689655907,1.827062846800036e-13,2.453925536209175e-11
CABYR,257.068122667096,4.3973020943462835,0.597871329717386,7.354930527317458,1.9102644327426186e-13,2.5477316965921132e-11
GPR146,129.5413876626379,-2.159609350443753,0.29411726044036274,-7.342681443483832,2.0935641552143958e-13,2.7728094144617333e-11
LINC00961,121.15032320732718,-2.3923376011419264,0.32592821358054813,-7.340075211226527,2.1347385901648108e-13,2.8078437511464327e-11
TAL1,367.0605454650121,-2.892199466894742,0.3944111044957322,-7.332956486081994,2.2513005121268934e-13,2.9408769429646656e-11
SFXN1,1280.1501769742586,1.4987489631002708,0.20445810171708717,7.330347638530461,2.295564764523242e-13,2.978300080883488e-11
SPOCK2,14654.101974120726,-2.9347334485721093,0.4009245404515161,-7.31991472826046,2.4812857537793713e-13,3.1975055335189305e-11
LGR4,2078.9672183301986,2.849242273861626,0.38951463484185955,7.314852945174705,2.57663406807849e-13,3.298091607140467e-11
HJURP,366.2684906561443,4.126697570535372,0.5643770994831301,7.311950776023158,2.6329157056687433e-13,3.347664555900951e-11
AK4,950.6264739918169,3.1232580340231304,0.42744659670824975,7.306779509008198,2.736209944969675e-13,3.433930637616623e-11
LINC01057,90.42070009277201,1.7065326358705124,0.2335555767724295,7.306751820930885,2.7367735786374096e-13,3.433930637616623e-11
PPM1F,1806.969668711029,-1.4779037296686584,0.20233918706733378,-7.304090478414576,2.7914849692111226e-13,3.479686361620558e-11
FERMT1,663.0049355812761,2.8275836586509513,0.3873989790981469,7.298892901662985,2.901451471672201e-13,3.593278082320274e-11
HELLS,383.5020217583801,2.509763309002057,0.3439634455579059,7.2965989305382175,2.951328623447243e-13,3.6314670649281175e-11
KIF14,235.94939822344423,3.9324205192683723,0.5401606643564322,7.280094199294587,3.335871621108513e-13,4.078316894729587e-11
HID1-AS1,21.45528770550097,-2.6006041810391776,0.3574381509146753,-7.275676013834271,3.446899395964357e-13,4.187214349033899e-11
GJB2,815.2656757493336,4.60212203024737,0.6327135308313134,7.273626698326977,3.499622491444133e-13,4.2243544403052224e-11
TPX2,1355.3014339652286,3.866451962317218,0.5324289796857795,7.261911184096439,3.8165878429449915e-13,4.5779851157639545e-11
NMUR1,133.94000907194913,-3.0091262246189343,0.41464268708970214,-7.257154939206614,3.953168033592355e-13,4.712176296042087e-11
CDC6,567.6572206707924,3.654763364881977,0.5043462645967827,7.246536003996988,4.2756556080186684e-13,5.064925699138636e-11
CDH5,5003.001127069671,-2.43458062398185,0.3364446805337347,-7.236198890467341,4.614344946745091e-13,5.4323942484149614e-11
KIF26B,1123.5735038823327,2.958453294251901,0.4090406682510798,7.232662969433458,4.736137592327679e-13,5.5415715436118715e-11
ARRB1,3330.3730721782854,-1.5654887645073396,0.216591828056503,-7.227829316344038,4.907749855019537e-13,5.7073539777397934e-11
CDCA8,466.3408836958715,3.3190523475778373,0.45949490268356835,7.223262604642007,5.075486564716609e-13,5.866647258319707e-11
NCAPH,366.5064118606068,3.4682552260839756,0.4805513641674355,7.217241453663949,5.305273117319227e-13,6.095311379127247e-11
AGMAT,119.23352852071282,3.7887922117898656,0.5251137360098737,7.215183972484439,5.386110814902582e-13,6.151132063582158e-11
EPAS1,48917.248588793314,-2.654471660641635,0.3681466558540612,-7.210364724035161,5.580220876416439e-13,6.297394825740493e-11
MMP12,702.1932610749728,6.517525463212418,0.9038518112963805,7.210834101072867,5.561017339719001e-13,6.297394825740493e-11
CST1,233.24836184656965,6.982913518950255,0.9686012303809131,7.209275912445566,5.625018257537378e-13,6.31060871810311e-11
GOLM1,9581.333838689492,2.6877271360790664,0.3734123497217031,7.197745704131576,6.121617407126882e-13,6.827572350217772e-11
DPEP2,454.4333238934379,-1.9976536764494337,0.27760351318158794,-7.196067706616936,6.19738637996626e-13,6.871892618530029e-11
FGFBP2,126.71584346658413,-3.1913356254754013,0.4439060415542386,-7.189214218174746,6.51652639428662e-13,7.183999502418174e-11
NCAPG,396.8229726053298,3.8384261337491843,0.5342836933072886,7.184247211418348,6.757849116505481e-13,7.407224043103019e-11
FHL2,2155.976293286817,2.5706141971053467,0.3579616668696316,7.18125552265225,6.907411435516362e-13,7.527894337038174e-11
OVCH1,121.19237075162889,-4.364593753006946,0.6081483642949935,-7.176856848191438,7.133230703297591e-13,7.729828180300661e-11
BUB1B,391.33926006088615,3.7543266380089424,0.5231846146524749,7.175911777342214,7.182686310936166e-13,7.739445950405341e-11
PODXL2,965.1406053015111,2.565589009106798,0.3584142883199863,7.158166101950386,8.176345114955971e-13,8.7606322490135e-11
CDCA5,445.13119964367434,3.026276234324777,0.42305392914960444,7.153405336307835,8.465116737898549e-13,9.019369074033582e-11
SH3GL3,127.84874147981972,-4.43299311868871,0.6201661936187235,-7.148072829997087,8.800462086169373e-13,9.324578494856793e-11
SPRYD7,911.6748753903688,-1.3047501747368884,0.18258174078344577,-7.146115318751451,8.926807544999671e-13,9.406191905979764e-11
IQGAP3,630.1122218605433,3.7498883402429013,0.5248838760594843,7.144224677646474,9.050526331595582e-13,9.484155944845656e-11
FGD5,2119.0814738902973,-2.1217060505535423,0.29730209428971854,-7.1365324742245395,9.571470178334592e-13,9.921036915282464e-11
P2RY6,373.31072326549213,3.258715878440636,0.4565833417015923,7.137176460043573,9.526751498694666e-13,9.921036915282464e-11
SLC39A11,2050.8054244531845,1.4431213412430017,0.2023863962716274,7.130525409949765,9.998651444541869e-13,1.030779893785419e-10
GPX2,6069.021339903429,7.4319363538627785,1.0446325378155465,7.114402514595094,1.1239868043379303e-12,1.1525094802329573e-10
CDC20,892.0818204306388,4.114594455513117,0.5794793411761003,7.100502404731485,1.2430417206367641e-12,1.2677696094109285e-10
CYP24A1,1409.5021658068301,6.084014517579005,0.8571382273513398,7.098055276777634,1.265245824559474e-12,1.2767602310052003e-10
ASPM,533.8375640875944,3.97634632473956,0.5601798318678125,7.098338959260982,1.262652011327999e-12,1.2767602310052003e-10
NEIL3,150.01043472572056,5.105519021048374,0.7194628580147988,7.096292691378041,1.2814793501073082e-12,1.286335482381399e-10
GANC,1111.1008409372087,-1.0868060342888826,0.15319901461420674,-7.094079795654892,1.3021498561537128e-12,1.3002409453698227e-10
TMEM204,1494.6229581988207,-2.055453386019704,0.28984059043998817,-7.091668502674018,1.3250461022520974e-12,1.3162124615704168e-10
INMT,5645.5229144926225,-3.3336182507270213,0.47034816458989515,-7.087554500470225,1.3650255377248695e-12,1.3488998474346482e-10
RGCC,5571.2767058965,-2.5235454369524843,0.35612845582522173,-7.086053910252464,1.3799007462258736e-12,1.356570465568034e-10
CCL24,201.47431567954038,-3.492546948709419,0.49425102606900045,-7.066342333140322,1.5907071687436287e-12,1.5557931857578711e-10
FER1L4,245.1666292255366,3.6903386846723554,0.5235601772537107,7.048547320825096,1.807952683370849e-12,1.759181397186035e-10
EEF1A2,542.542043991024,5.216137118810682,0.7401039053682235,7.047844337769709,1.8171074624876723e-12,1.759181397186035e-10
IGHG4,5149.589056295472,4.361914943637209,0.6191159639170656,7.045392459338222,1.849394988394139e-12,1.781397031245102e-10
MCEMP1,3139.633858480919,-3.9052289058180265,0.5548079665663969,-7.038883976354486,1.937856413946975e-12,1.857226006371694e-10
MYL9,12666.952359830817,-1.5793847338309415,0.2247043701091084,-7.028722819516366,2.0843256582396892e-12,1.9876129476973677e-10
SERINC1,12576.877909517463,-0.9495161828497823,0.13514726380325817,-7.025789173446005,2.12859665379994e-12,2.019731113496142e-10
DNAJC22,242.76410004659948,3.4898180500286213,0.49695699800002574,7.022374298124766,2.181292262078855e-12,2.0594854466518774e-10
GUCY1A2,1149.2247095473344,-2.4428498153177363,0.34810294833456173,-7.017607368754353,2.2569971088456882e-12,2.1204654610790624e-10
SPAG5,688.0428026903912,3.163524278789162,0.45112030126566705,7.0125956865908075,2.339367588514332e-12,2.1870793454973206e-10
DNA2,215.14101659866475,2.415958785833143,0.34480246403701675,7.006790953714804,2.4384617693375734e-12,2.268602090966156e-10
UPK3B,3069.2752644986867,-4.042375440050237,0.57703913525328,-7.005374840435937,2.4632545124044403e-12,2.2805432068241497e-10
STARD13,1411.1428179697705,-1.9789046522868732,0.2825641541043746,-7.003381793275513,2.498567281138851e-12,2.3020616031826168e-10
MDK,5975.636977829197,2.710790097943425,0.387543744091969,6.994797720951265,2.65641911119325e-12,2.43573198503258e-10
GRHL3,98.52808398784367,3.760173749182097,0.5378017823548853,6.991746536646524,2.7148503480375157e-12,2.477398365443612e-10
NXF3,64.81879985085976,-3.15707820280208,0.4523167506153118,-6.979795018661878,2.956110509057345e-12,2.6847114108924613e-10
JPH4,152.13841412993685,-2.5111719776785795,0.3601006575567137,-6.973527887221602,3.0909013178187936e-12,2.793823219594314e-10
TROAP,305.6220321424254,4.032395674644585,0.5788062712317006,6.966744962979826,3.2435789010187973e-12,2.917997018878797e-10
CEACAM1,1576.274108138207,2.039007522101051,0.2928588105062599,6.962425062699171,3.344645209372204e-12,2.9947921799599374e-10
C15orf48,1421.4135400299415,3.7977657479127056,0.5457525256928379,6.958768982500643,3.432588512532889e-12,3.0591742107956665e-10
IQSEC3,299.3164533329233,-2.6996045140065763,0.38852823427387134,-6.94828400065165,3.697560801519157e-12,3.279994400305738e-10
ARHGEF26,2082.6525542019444,-2.606181217113024,0.3754207865681715,-6.942026947780035,3.8651345966513995e-12,3.412770695709976e-10
PAICS,3309.9774051182626,1.7409803164653381,0.2508915480694229,6.93917483415424,3.943967915089762e-12,3.4663297731148357e-10
SGOL1,133.68267605189408,3.8351830895843135,0.5531425281886645,6.933444626185421,4.10714723314898e-12,3.593188625257676e-10
